num_tokens,num_palabras,num_oraciones,num_verbs,num_nouns,num_adjs,num_advs,num_entidades,longitud_promedio_oracion,densidad_verbos,densidad_sustantivos,densidad_entidades,modelo,benchmark,label_gold_binaria,prompt
45,31,4,2,4,1,1,6,11.25,0.044444444444444446,0.08888888888888889,0.13333333333333333,llama3-latest,halueval,0,Bret Schundler served in the cabinet of a New Jersey governor whose term ended in what year?
45,38,2,4,5,0,0,5,22.5,0.08888888888888889,0.1111111111111111,0.1111111111111111,llama3-latest,halueval,0,"The Government Accountability Institute (GAI) is a conservative nonprofit investigative research organization located in Tallahassee, Florida, The group is known for its involvement with the publication of the investigative books ""Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich"", Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich is  a ""New York Times"" bestselling book, released in which year?"
159,125,8,15,26,8,2,17,19.875,0.09433962264150944,0.16352201257861634,0.1069182389937107,llama3-latest,halueval,0,"How many people died in the downing of the flight investigated by Eliot Higgins, the British citizen journalist and blogger?"
26,21,1,2,4,1,2,4,26.0,0.07692307692307693,0.15384615384615385,0.15384615384615385,llama3-latest,halueval,0,"Life of Kylie is an American reality television series starring Kylie Jenner,  best known for starring in the E! reality television series ""Keeping Up with the Kardashians"" since what young age?"
174,128,7,11,17,15,4,20,24.857142857142858,0.06321839080459771,0.09770114942528736,0.11494252873563218,llama3-latest,halueval,0,What do Jimmie Ross and Jas Mann have in common?
134,97,4,4,19,12,4,14,33.5,0.029850746268656716,0.1417910447761194,0.1044776119402985,llama3-latest,halueval,0,Are 919 Third Avenue and the Morgan Stanley Building located in the same area of New York?
108,78,5,6,14,7,4,19,21.6,0.05555555555555555,0.12962962962962962,0.17592592592592593,llama3-latest,halueval,0,What group did the composer of Pictures at an Exhibition belong to?
34,24,1,1,4,2,0,7,34.0,0.029411764705882353,0.11764705882352941,0.20588235294117646,llama3-latest,halueval,0, Taizô Kawashima was nominated for an Academy Award for the war film released in what year?
10,6,1,0,3,0,0,2,10.0,0.0,0.3,0.2,llama3-latest,halueval,0,Watchers is a film starring which actress?
80,55,5,7,10,3,4,4,16.0,0.0875,0.125,0.05,llama3-latest,halueval,0,"What is the name of this American musician, singer, actor, comedian, and songwriter, who worked with Modern Records and born in December 5, 1932?"
81,67,3,7,12,6,1,8,27.0,0.08641975308641975,0.14814814814814814,0.09876543209876543,llama3-latest,halueval,0,Who was the former wife of the American musician who led the band Kings of Rhythm?
7,6,1,0,1,0,0,1,7.0,0.0,0.14285714285714285,0.14285714285714285,llama3-latest,halueval,0,"Spaceballs is a 1987 American comic science fiction film co-written, produced and directed by Mel Brooks, the film also features which American actor, businessman, and animal welfare advocate, best known for his role as patriarch Tom Bradford on the ABC television comedy-drama ""Eight Is Enough""?"
