modelo,clasificador_nli,label,count
deepseek:6.7b,roberta,neutral,901
deepseek:6.7b,roberta,contradiction,670
deepseek:6.7b,roberta,entailment,1
deepseek:6.7b,deberta,neutral,1009
deepseek:6.7b,deberta,contradiction,553
deepseek:6.7b,deberta,entailment,10
deepseek:6.7b,distilroberta,neutral,1171
deepseek:6.7b,distilroberta,contradiction,334
deepseek:6.7b,distilroberta,entailment,67
gemma3:4b,roberta,neutral,759
gemma3:4b,roberta,contradiction,745
gemma3:4b,roberta,entailment,68
gemma3:4b,deberta,neutral,792
gemma3:4b,deberta,contradiction,652
gemma3:4b,deberta,entailment,128
gemma3:4b,distilroberta,contradiction,759
gemma3:4b,distilroberta,neutral,668
gemma3:4b,distilroberta,entailment,145
llama3:8b,roberta,neutral,1151
llama3:8b,roberta,contradiction,370
llama3:8b,roberta,entailment,51
llama3:8b,deberta,neutral,1141
llama3:8b,deberta,contradiction,346
llama3:8b,deberta,entailment,85
llama3:8b,distilroberta,neutral,1141
llama3:8b,distilroberta,contradiction,274
llama3:8b,distilroberta,entailment,157
mistral0.2:7b,roberta,neutral,1159
mistral0.2:7b,roberta,contradiction,352
mistral0.2:7b,roberta,entailment,61
mistral0.2:7b,deberta,neutral,1160
mistral0.2:7b,deberta,contradiction,308
mistral0.2:7b,deberta,entailment,104
mistral0.2:7b,distilroberta,neutral,1154
mistral0.2:7b,distilroberta,contradiction,289
mistral0.2:7b,distilroberta,entailment,129
phi3:3.8b,roberta,neutral,935
phi3:3.8b,roberta,contradiction,339
phi3:3.8b,roberta,entailment,298
phi3:3.8b,deberta,neutral,1000
phi3:3.8b,deberta,contradiction,358
phi3:3.8b,deberta,entailment,214
phi3:3.8b,distilroberta,neutral,1050
phi3:3.8b,distilroberta,contradiction,307
phi3:3.8b,distilroberta,entailment,215
qwen2.5:7b,roberta,neutral,1190
qwen2.5:7b,roberta,contradiction,201
qwen2.5:7b,roberta,entailment,181
qwen2.5:7b,deberta,neutral,1206
qwen2.5:7b,deberta,contradiction,194
qwen2.5:7b,deberta,entailment,172
qwen2.5:7b,distilroberta,neutral,1187
qwen2.5:7b,distilroberta,entailment,211
qwen2.5:7b,distilroberta,contradiction,174
