modelo,clasificador,porcentaje
deepseek:6.7b,roberta,42.62086513994911
deepseek:6.7b,deberta,35.17811704834606
deepseek:6.7b,distilroberta,21.246819338422394
deepseek:6.7b,consenso,29.961832061068705
gemma3:4b,roberta,47.391857506361326
gemma3:4b,deberta,41.475826972010175
gemma3:4b,distilroberta,48.282442748091604
gemma3:4b,consenso,45.29262086513995
llama3:8b,roberta,23.536895674300254
llama3:8b,deberta,22.010178117048344
llama3:8b,distilroberta,17.43002544529262
llama3:8b,consenso,20.5470737913486
mistral0.2:7b,roberta,22.391857506361323
mistral0.2:7b,deberta,19.59287531806616
mistral0.2:7b,distilroberta,18.384223918575064
mistral0.2:7b,consenso,18.51145038167939
phi3:3.8b,roberta,21.564885496183205
phi3:3.8b,deberta,22.7735368956743
phi3:3.8b,distilroberta,19.529262086513995
phi3:3.8b,consenso,18.829516539440203
qwen2.5:7b,roberta,12.786259541984732
qwen2.5:7b,deberta,12.340966921119593
qwen2.5:7b,distilroberta,11.068702290076336
qwen2.5:7b,consenso,10.877862595419847
