modelo,length_class,rate,n
deepseek:6.7b,corta,0.22887323943661972,568
deepseek:6.7b,long,0.5431034482758621,116
deepseek:6.7b,media,0.5,22
deepseek:6.7b,medium,0.3346228239845261,517
deepseek:6.7b,short,0.2693409742120344,349
gemma3:4b,corta,0.6602112676056338,568
gemma3:4b,long,0.29310344827586204,116
gemma3:4b,media,0.5454545454545454,22
gemma3:4b,medium,0.3539651837524178,517
gemma3:4b,short,0.30945558739255014,349
llama3:8b,corta,0.375,568
llama3:8b,long,0.06896551724137931,116
llama3:8b,media,0.2727272727272727,22
llama3:8b,medium,0.11992263056092843,517
llama3:8b,short,0.09742120343839542,349
mistral0.2:7b,corta,0.31161971830985913,568
mistral0.2:7b,long,0.13793103448275862,116
mistral0.2:7b,media,0.22727272727272727,22
mistral0.2:7b,medium,0.1218568665377176,517
mistral0.2:7b,short,0.08595988538681948,349
phi3:3.8b,corta,0.23943661971830985,568
phi3:3.8b,long,0.29310344827586204,116
phi3:3.8b,media,0.09090909090909091,22
phi3:3.8b,medium,0.1528046421663443,517
phi3:3.8b,short,0.12893982808022922,349
qwen2.5:7b,corta,0.19190140845070422,568
qwen2.5:7b,long,0.07758620689655173,116
qwen2.5:7b,media,0.13636363636363635,22
qwen2.5:7b,medium,0.048355899419729204,517
qwen2.5:7b,short,0.07163323782234957,349
